,광역시도,시군,pop,moon,hong,ahn
238,경상북도,서울특별시,6590646,2781345.0,1365285.0,1492767.0
239,경상북도,부산광역시,2261633,872127.0,720484.0,378907.0
240,경상북도,대구광역시,1581347,342620.0,714205.0,235757.0
241,경상북도,인천광역시,1820091,747090.0,379191.0,428888.0
242,경상북도,광주광역시,957321,583847.0,14882.0,287222.0
243,경상북도,대전광역시,945897,404545.0,191376.0,218769.0
244,경상북도,울산광역시,744960,282794.0,203602.0,128520.0
245,경상북도,세종특별자치시,152801,77767.0,23211.0,32010.0
246,경상북도,경기도,7916009,3319812.0,1637345.0,1807308.0
247,경상북도,강원도,955885,324768.0,284909.0,206840.0
248,경상북도,충청북도,975441,374806.0,255502.0,211454.0
249,경상북도,충청남도,1240204,476661.0,306614.0,290216.0
250,경상북도,전라북도,1205794,778747.0,40231.0,285467.0
251,경상북도,전라남도,1238738,737921.0,30221.0,378179.0
252,경상북도,경상북도,1711627,369726.0,827237.0,253905.0
253,경상북도,경상남도,2135055,779731.0,790491.0,284272.0
254,경상북도,제주특별자치도,374459,169493.0,68063.0,77861.0
255,경상남도,서울특별시,6590646,2781345.0,1365285.0,1492767.0
256,경상남도,부산광역시,2261633,872127.0,720484.0,378907.0
257,경상남도,대구광역시,1581347,342620.0,714205.0,235757.0
258,경상남도,인천광역시,1820091,747090.0,379191.0,428888.0
259,경상남도,광주광역시,957321,583847.0,14882.0,287222.0
260,경상남도,대전광역시,945897,404545.0,191376.0,218769.0
261,경상남도,울산광역시,744960,282794.0,203602.0,128520.0
262,경상남도,세종특별자치시,152801,77767.0,23211.0,32010.0
263,경상남도,경기도,7916009,3319812.0,1637345.0,1807308.0
264,경상남도,강원도,955885,324768.0,284909.0,206840.0
265,경상남도,충청북도,975441,374806.0,255502.0,211454.0
266,경상남도,충청남도,1240204,476661.0,306614.0,290216.0
267,경상남도,전라북도,1205794,778747.0,40231.0,285467.0
268,경상남도,전라남도,1238738,737921.0,30221.0,378179.0
269,경상남도,경상북도,1711627,369726.0,827237.0,253905.0
270,경상남도,경상남도,2135055,779731.0,790491.0,284272.0
271,경상남도,제주특별자치도,374459,169493.0,68063.0,77861.0
272,제주특별자치도,서울특별시,6590646,2781345.0,1365285.0,1492767.0
273,제주특별자치도,부산광역시,2261633,872127.0,720484.0,378907.0
274,제주특별자치도,대구광역시,1581347,342620.0,714205.0,235757.0
275,제주특별자치도,인천광역시,1820091,747090.0,379191.0,428888.0
276,제주특별자치도,광주광역시,957321,583847.0,14882.0,287222.0
277,제주특별자치도,대전광역시,945897,404545.0,191376.0,218769.0
278,제주특별자치도,울산광역시,744960,282794.0,203602.0,128520.0
279,제주특별자치도,세종특별자치시,152801,77767.0,23211.0,32010.0
280,제주특별자치도,경기도,7916009,3319812.0,1637345.0,1807308.0
281,제주특별자치도,강원도,955885,324768.0,284909.0,206840.0
282,제주특별자치도,충청북도,975441,374806.0,255502.0,211454.0
283,제주특별자치도,충청남도,1240204,476661.0,306614.0,290216.0
284,제주특별자치도,전라북도,1205794,778747.0,40231.0,285467.0
285,제주특별자치도,전라남도,1238738,737921.0,30221.0,378179.0
286,제주특별자치도,경상북도,1711627,369726.0,827237.0,253905.0
287,제주특별자치도,경상남도,2135055,779731.0,790491.0,284272.0
288,제주특별자치도,제주특별자치도,374459,169493.0,68063.0,77861.0
